Date,Month,Region,State,Salesperson,Customer,Product,Category,Units,Unit Price,Sales,Cost,Profit,Channel,Target,Returned
1/1/2025,January,South,Karnataka,Karan,Cust604,Monitor,Electronics,12,15000.00,180000.00,132000.00,48000.00,Retail,198000.00,No
1/1/2025,January,South,Tamil Nadu,Priya,Cust969,Printer,Electronics,10,18000.00,180000.00,145000.00,35000.00,Retail,198000.00,No
1/1/2025,January,South,Tamil Nadu,Neha,Cust477,Laptop,Electronics,9,65000.00,585000.00,468000.00,117000.00,Online,643500.00,No
1/2/2025,January,South,Tamil Nadu,Asha,Cust154,Desk,Furniture,2,12000.00,24000.00,18000.00,6000.00,Retail,26400.00,No
1/2/2025,January,South,Karnataka,Priya,Cust282,Laptop,Electronics,12,65000.00,780000.00,624000.00,156000.00,Online,858000.00,No
1/2/2025,January,South,Tamil Nadu,Priya,Cust255,Printer,Electronics,1,18000.00,18000.00,14500.00,3500.00,Retail,19800.00,No
1/3/2025,January,East,West Bengal,Priya,Cust465,Desk,Furniture,10,12000.00,120000.00,90000.00,30000.00,Distributor,132000.00,No
1/3/2025,January,South,Tamil Nadu,Arun,Cust659,Printer,Electronics,2,18000.00,36000.00,29000.00,7000.00,Retail,39600.00,No
1/3/2025,January,South,Karnataka,Priya,Cust959,Monitor,Electronics,5,15000.00,75000.00,55000.00,20000.00,Retail,82500.00,No
1/4/2025,January,South,Karnataka,Karan,Cust815,Chair,Furniture,5,7000.00,35000.00,25000.00,10000.00,Online,38500.00,No
1/4/2025,January,North,Delhi,Arun,Cust225,Desk,Furniture,10,12000.00,120000.00,90000.00,30000.00,Distributor,132000.00,No
1/4/2025,January,East,West Bengal,Karan,Cust748,Chair,Furniture,10,7000.00,70000.00,50000.00,20000.00,Retail,77000.00,No
1/5/2025,January,East,West Bengal,Karan,Cust399,Chair,Furniture,4,7000.00,28000.00,20000.00,8000.00,Online,30800.00,No
1/5/2025,January,East,West Bengal,Karan,Cust380,Laptop,Electronics,7,65000.00,455000.00,364000.00,91000.00,Distributor,500500.00,No
1/5/2025,January,South,Karnataka,Karan,Cust949,Chair,Furniture,7,7000.00,49000.00,35000.00,14000.00,Distributor,53900.00,No
1/6/2025,January,East,West Bengal,Vijay,Cust202,Chair,Furniture,1,7000.00,7000.00,5000.00,2000.00,Distributor,7700.00,No
1/6/2025,January,South,Karnataka,Rahul,Cust561,Chair,Furniture,10,7000.00,70000.00,50000.00,20000.00,Retail,77000.00,No
1/6/2025,January,South,Karnataka,Karan,Cust192,Laptop,Electronics,2,65000.00,130000.00,104000.00,26000.00,Distributor,143000.00,No
1/7/2025,January,North,Delhi,Meera,Cust419,Chair,Furniture,10,7000.00,70000.00,50000.00,20000.00,Retail,77000.00,No
1/7/2025,January,West,Maharashtra,Vijay,Cust760,Monitor,Electronics,8,15000.00,120000.00,88000.00,32000.00,Online,132000.00,No
1/7/2025,January,West,Maharashtra,Priya,Cust171,Printer,Electronics,10,18000.00,180000.00,145000.00,35000.00,Distributor,198000.00,No
1/8/2025,January,South,Tamil Nadu,Arun,Cust353,Desk,Furniture,12,12000.00,144000.00,108000.00,36000.00,Retail,158400.00,No
1/8/2025,January,South,Tamil Nadu,Asha,Cust512,Desk,Furniture,6,12000.00,72000.00,54000.00,18000.00,Retail,79200.00,No
